paragraph	label
(2005) reported an increase of B cells instead of T cells in gingivitis lesions in an experimental model of @di$ gingivitis @/di$. Mahanonda et al. (2016) found memory B cells in the gums of patients with @di$ gingivitis @/di$, suggesting previous activation by periodontal microorganisms. In another study, B cells in response to a bacterium associated with periodontal disease in vivo led to upregulation of RANKL expression. Gemmell et al. (2002) found that BALB/c mice co-infected with @gm$ F. nucleatum @/gm$ and P.	1
(FDR=0.042) were significantly enriched in MHO groups, whereas Butyrivibrio crossotus (B.crossotus) (FDR<0.001), Faecalibacterium prausnitzii (F.prausnitzii) (FDR=0.007), @gm$ Bacteroides cellulosilyticus @/gm$ (@gm$ B.cellulosilyticus @/gm$) (FDR=0.005), Eubacterium siraeum (E.siraeum) (FDR<0.001), and Bacteroides massiliensis (FDR=0.024) were significantly enriched in non-@di$ obese @/di$ controls ( Figure 2C ,  Table S5 ). A random forest model was established to identify the top 50 important biomarkers to differentiate MHO from non-@di$ obese @/di$ controls.	2
(R = -0.582) raised the question of whether administration by @gm$ Bifidobacterium @/gm$ could inhibit pathogenic Desulfovibrio and Pseudomonas. Indeed, bifidobacterial species, like B. longum, had been reported to be able to successfully treat ulcerative colitis with multidrug-resistant pseudomonas aeruginosa infection in a man and prevent gut-derived pseudomonas aeruginosa @di$ sepsis @/di$ in mice.	2
(dysentery), Staphylococcus aureus (abscesses, folliculitis, boils, impetigo, wound infections), Streptococcus faecalis (urinary tract infections), Streptococcus mutans (dental caries), Streptococcus pneumoniae (ear infections, meningitis, pneumonia, sinusitis), (ear infections, impetigo, puerperal fever, rheumatic fever, scarlet fever, sore throat, wound infections), @gm$ Vibrio cholerae @/gm$ (cholera), Actinomyces pyogenes, Klebsiella pneumoniae, Nocardia asteroids, Staphylococcus aureus, Streptococcus agal., dysgal., uber (mastitis), Epidermophyton floccosum, Microsporum canis, M. gypseum, Trichophyton rubrum, T. tonsurans, T. mentagrophytes var. (@di$ Tinea @/di$:fungal infections), diff.	0
(for example, Vibrio parahaemolyticus, Vibrio alginolyticus and @gm$ Vibrio vulnificus @/gm$) cause vibriosis - infections normally acquired through exposure to sea water or through consumption of raw or undercooked contaminated seafood. Non-cholera bacteria can lead to several clinical manifestations, most commonly mild, self-limiting gastroenteritis, with the exception of @gm$ V. vulnificus @/gm$, an opportunistic pathogen with a high mortality that causes wound infections that can rapidly lead to @di$ septicaemia @/di$. Treatment for Vibrio spp. infection largely depends on the causative pathogen: for example, rehydration therapy for V. cholerae infection and debridement of infected tissues for @gm$ V. vulnificus @/gm$-associated wound infections, with antibiotic therapy for severe cholera and systemic infections.	1
0.80) with a decreasing degree of polymerization, which implied that the potential anti-@di$ obesity @/di$ prebiotic effect was enhanced. At the genus level, hydrolyzed TSPs maintained similar roles as native TSP, including promoting beneficial bacteria (Bifidobacterium, Parabacteroides, and Faecalibacterium) and inhibiting enteropathogenic bacteria (Escherichia-Shigella and Dorea). Moreover, ETSP1 had additional potential due to abundant Bacteroides vulgatus (LDA = 4.68), and ETSP2 might perform better as related to @gm$ Bacteroides xylanisolvens @/gm$ (LDA = 4.40).	2
1F and 2B), sgRNAs that targeted acetogenesis-related genes, including those that encode formate dehydrogenase, the @di$ W-L @/di$ pathway, hydrogenase, the Rnf complex, and adenosine 5'-triphosphate (ATP) synthase, were depleted under all growth conditions as the passage progressed from P1 to P3 (SI Appendix, Fig. S8). Among them, genes encoding methyl branch, carbonyl branch, phosphotransacetylase, and acetate kinase were essential, even under glucose conditions (Fig. 3A). These findings were consistent with the high translation level of hydrogenase, the Rnf complex, ATP synthase, and the @di$ W-L @/di$ pathway under glucose conditions, as previously reported. To confirm heterotrophic growth repression, we constructed two CRISPRi mutants (Fig. 3B), folD and acsB. The growth rate and maximum biomass (OD600) of folD in the methyl-branch and acsB in the carbonyl-branch mutants were significantly decreased under heterotrophic (growth rate, 0.74- to 0.80-fold decrease, P < 0.018; maximum biomass, 0.49- to 0.67-fold decrease, P < 0.004) and autotrophic growth conditions (growth rate, 0.18- to 0.20-fold decrease, P < 0.003; maximum biomass, 0.64- to 0.67-fold decrease, P < 0.008). These data indicated that the @di$ W-L @/di$ pathway significantly contributes to the heterotrophic growth of @gm$ E. limosum @/gm$.	0
2f), @gm$ Anaerotruncus colihominis @/gm$, Alistipes shahii and Roseburia intestinalis (Fig. 2g) demonstrated significant stroke-induced elevation in abundance. Interestingly, all of these species are relatively novel and were recently (after 2002) first described. P. goldsteinii is a novel anaerobe, recently characterised as pathogen identified in a few studies as a causing agent of @di$ sepsis @/di$ and abdominal abscess. Similarly, @gm$ A. colihominis @/gm$ was first isolated and described in 2004 and implicated as pathogen 2 years later.	1
30/76 (39.5%) neonates with clinical @di$ sepsis @/di$ had a positive PCR result (ConS: n = 24, Streptococcus sp.: n = 2). The two episodes with Streptococcus sp. had a maximum CRP at 4.2 and 4.6 mg/dL, respectively. A polymicrobial @di$ sepsis @/di$ with ConS, E. faecalis, K. oxytoca and @gm$ E. cloacae @/gm$ was detected in one episode with a maximum CRP at 10.5 mg/dL. A further episode presented with K. pneumonia and E. coli with a CRP of 19.5 mg/dL; two more episodes of clinical @di$ sepsis @/di$ without yield of a causative agent in conventional blood culture but positive PCR signal were caused by E.	1
3A, in BMI groups within the genus level, Dialister, Akkermansia, @gm$ Odoribacter @/gm$, and Alistipes exhibited a significant decrease in @di$ AW @/di$ children compared with Lean children. At the species level, Megamonas hypermegale was increased in the @di$ AW @/di$ group, while Akkermansia muciniphila, Dialister invisus, Alistipes putredinis, Bacteroides massiliensis, @gm$ Odoribacter splanchnicus @/gm$, and Bacteroides thetaiotaomicron were decreased in @di$ AW @/di$ children compared to the Lean group (Fig.	2
