# ANI ranges report for assembly: GCA_000739375.1
# Submitted organism: Comamonas testosteroni TK102 (taxid = 1392005, rank = no rank, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas)
# Submitted Organism Has Type Assembly: Yes
# Best match: Comamonas brasiliensis (taxid = 1812482, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas)
# Status: MISASSIGNED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP006704.1	CIRCULAR	1	1405	6062703	UFXL01000001.1	556673	558077	GCA_900461225.1	Comamonas testosteroni	96.3701	96	0.0231745
-	CP006704.1	CIRCULAR	1461	5428	6062703	UFXL01000001.1	552701	556668	GCA_900461225.1	Comamonas testosteroni	98.1351	96	0.0654494
T	CP006704.1	CIRCULAR	18000	18700	6062703	JAODYH010000004.1	587982	588683	GCA_025421555.1	Acidovorax bellezanensis	96.1538	96	0.0115625
S	CP006704.1	CIRCULAR	18741	45958	6062703	JAANES010000004.1	291439	318682	GCA_018292285.1	Comamonas brasiliensis	96.3111	96	0.448942
-	CP006704.1	CIRCULAR	45959	46113	6062703	UFXL01000001.1	524116	524275	GCA_900461225.1	Comamonas testosteroni	81.3253	96	0.00255662
S	CP006704.1	CIRCULAR	46114	72189	6062703	JAANES010000004.1	265295	291376	GCA_018292285.1	Comamonas brasiliensis	96.8452	96	0.430105
-	CP006704.1	CIRCULAR	72190	76514	6062703	UFXL01000001.1	493205	497529	GCA_900461225.1	Comamonas testosteroni	92.2953	96	0.0713378
S	CP006704.1	CIRCULAR	76515	91940	6062703	JAANES010000004.1	246582	262048	GCA_018292285.1	Comamonas brasiliensis	96.1692	96	0.254441
-	CP006704.1	CIRCULAR	91941	92510	6062703	UFXL01000001.1	477082	477651	GCA_900461225.1	Comamonas testosteroni	97.3684	96	0.00940175
S	CP006704.1	CIRCULAR	92511	92618	6062703	CP066783.1	80887	80979	GCA_019186805.1	Comamonas fluminis	80.5556	96	0.00178138
S	CP006704.1	CIRCULAR	92619	92833	6062703	JAANES010000004.1	245788	246002	GCA_018292285.1	Comamonas brasiliensis	97.2093	96	0.00354627
-	CP006704.1	CIRCULAR	92907	94232	6062703	UFXL01000001.1	475501	476826	GCA_900461225.1	Comamonas testosteroni	97.0588	96	0.0218714
-	CP006704.1	CIRCULAR	94320	99581	6062703	UFXL01000001.1	470239	475500	GCA_900461225.1	Comamonas testosteroni	96.9593	96	0.086793
-	CP006704.1	CIRCULAR	99619	100622	6062703	UFXL01000001.1	469151	470154	GCA_900461225.1	Comamonas testosteroni	97.2139	96	0.0165603
S	CP006704.1	CIRCULAR	100811	144335	6062703	JAANES010000004.1	194261	237747	GCA_018292285.1	Comamonas brasiliensis	97.0464	96	0.717914
S	CP006704.1	CIRCULAR	145306	171876	6062703	JAANES010000004.1	167564	194183	GCA_018292285.1	Comamonas brasiliensis	96.365	96	0.43827
-	CP006704.1	CIRCULAR	171877	183379	6062703	UFXL01000001.1	387734	399234	GCA_900461225.1	Comamonas testosteroni	96.0535	96	0.189734
S	CP006704.1	CIRCULAR	183380	183543	6062703	CP125947.1	202061	202221	GCA_030064165.1	Comamonas resistens	85.4545	96	0.00270506
S	CP006704.1	CIRCULAR	183544	187633	6062703	JAANES010000004.1	151852	155942	GCA_018292285.1	Comamonas brasiliensis	97.9472	96	0.0674617
-	CP006704.1	CIRCULAR	187634	187786	6062703	UFXL01000001.1	383394	383526	GCA_900461225.1	Comamonas testosteroni	62.1795	96	0.00252363
S	CP006704.1	CIRCULAR	187787	211844	6062703	JAANES010000004.1	127700	151733	GCA_018292285.1	Comamonas brasiliensis	96.5145	96	0.39682
-	CP006704.1	CIRCULAR	211992	217160	6062703	UFXL01000001.1	354107	359246	GCA_900461225.1	Comamonas testosteroni	89.434	96	0.085259
S	CP006704.1	CIRCULAR	217161	255060	6062703	JAANES010000004.1	89845	127687	GCA_018292285.1	Comamonas brasiliensis	96.7399	96	0.625134
-	CP006704.1	CIRCULAR	255133	256093	6062703	UFXL01000001.1	315119	316080	GCA_900461225.1	Comamonas testosteroni	94.8025	96	0.015851
S	CP006704.1	CIRCULAR	256094	256244	6062703	AUCQ01000003.1	171180	171351	GCA_000429845.1	Comamonas composti	74.4186	96	0.00249064
S	CP006704.1	CIRCULAR	256245	262176	6062703	JAANES010000004.1	82675	88620	GCA_018292285.1	Comamonas brasiliensis	96.0007	96	0.0978441
-	CP006704.1	CIRCULAR	264491	265398	6062703	UFXL01000001.1	307850	308757	GCA_900461225.1	Comamonas testosteroni	85.6202	96	0.0149768
S	CP006704.1	CIRCULAR	265399	265512	6062703	JAANES010000004.1	81354	81470	GCA_018292285.1	Comamonas brasiliensis	86.3248	96	0.00188035
-	CP006704.1	CIRCULAR	265513	277270	6062703	UFXL01000001.1	296021	307792	GCA_900461225.1	Comamonas testosteroni	91.163	96	0.19394
S	CP006704.1	CIRCULAR	277271	277406	6062703	JAANES010000004.1	69466	69595	GCA_018292285.1	Comamonas brasiliensis	87.5	96	0.00224322
-	CP006704.1	CIRCULAR	277407	289330	6062703	AHIL01000002.1	121	12004	GCA_000241525.2	Comamonas testosteroni	96.0114	96	0.196678
-	CP006704.1	CIRCULAR	289331	298076	6062703	UFXL01000001.1	275205	284004	GCA_900461225.1	Comamonas testosteroni	91.9573	96	0.144259
S	CP006704.1	CIRCULAR	298080	302451	6062703	JAANES010000004.1	44348	48704	GCA_018292285.1	Comamonas brasiliensis	96.0201	96	0.072113
S	CP006704.1	CIRCULAR	302540	316833	6062703	JAANES010000004.1	30000	44317	GCA_018292285.1	Comamonas brasiliensis	96.5491	96	0.235769
-	CP006704.1	CIRCULAR	316834	317158	6062703	UFXL01000001.1	256034	256348	GCA_900461225.1	Comamonas testosteroni	87.0769	96	0.00536065
-	CP006704.1	CIRCULAR	317296	318753	6062703	UFXL01000001.1	253492	254949	GCA_900461225.1	Comamonas testosteroni	96.7764	96	0.0240487
S	CP006704.1	CIRCULAR	318754	318902	6062703	LIOM01000018.1	27919	28067	GCA_001418295.1	Comamonas thiooxydans	98.6577	96	0.00245765
S	CP006704.1	CIRCULAR	318903	335336	6062703	JAANES010000004.1	11747	28196	GCA_018292285.1	Comamonas brasiliensis	97.0706	96	0.271067
-	CP006704.1	CIRCULAR	335337	335458	6062703	UFXL01000001.1	236873	236993	GCA_900461225.1	Comamonas testosteroni	96.7213	96	0.0020123
S	CP006704.1	CIRCULAR	335459	345701	6062703	JAANES010000004.1	1390	11637	GCA_018292285.1	Comamonas brasiliensis	97.8925	96	0.168951
-	CP006704.1	CIRCULAR	345702	346258	6062703	AHIL01000003.1	1	557	GCA_000241525.2	Comamonas testosteroni	98.7561	96	0.00918732
-	CP006704.1	CIRCULAR	346259	352856	6062703	AHIL01000063.1	68019	74616	GCA_000241525.2	Comamonas testosteroni	98.7561	96	0.108829
S	CP006704.1	CIRCULAR	352857	385081	6062703	JAANES010000009.1	6366	38600	GCA_018292285.1	Comamonas brasiliensis	97.6478	96	0.531529
