# ANI ranges report for assembly: GCA_000771685.1
# Submitted organism: Bifidobacterium reuteri DSM 23975 (taxid = 1437610, rank = no rank, lineage = Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium)
# Submitted Organism Has Type Assembly: Yes
# Best match: Bifidobacterium reuteri (taxid = 983706, rank = species, lineage = Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	JDUW01000001.1	CONTIG	11	18626	315419	JGZK01000003.1	1	18615	GCA_000741695.1	Bifidobacterium reuteri	99.9946	96	5.90199
S	JDUW01000001.1	CONTIG	18627	18733	315419	MWWW01000022.1	23381	23487	GCA_002259745.1	Bifidobacterium myosotis	94.3925	96	0.0339231
S	JDUW01000001.1	CONTIG	18734	19062	315419	AP010888.1	1271116	1271444	GCA_000196555.1	Bifidobacterium longum	90.3904	96	0.104306
-	JDUW01000001.1	CONTIG	19063	161070	315419	JGZK01000003.1	18616	160618	GCA_000741695.1	Bifidobacterium reuteri	99.9901	96	45.022
S	JDUW01000001.1	CONTIG	161071	161171	315419	JAFEJU010000004.1	142732	142832	GCA_018555455.1	Bifidobacterium colobi	94.0594	96	0.0320209
-	JDUW01000001.1	CONTIG	161172	315419	315419	JGZK01000003.1	160619	314860	GCA_000741695.1	Bifidobacterium reuteri	99.9896	96	48.9026
-	JDUW01000002.1	CONTIG	1	344	290637	JGZK01000006.1	280074	280417	GCA_000741695.1	Bifidobacterium reuteri	100	96	0.118361
S	JDUW01000002.1	CONTIG	345	485	290637	MWWW01000013.1	11644	11788	GCA_002259745.1	Bifidobacterium myosotis	87.5862	96	0.0485141
-	JDUW01000002.1	CONTIG	486	37933	290637	JGZK01000006.1	242629	280073	GCA_000741695.1	Bifidobacterium reuteri	99.9893	96	12.8848
S	JDUW01000002.1	CONTIG	37934	38094	290637	MWWW01000013.1	57128	57288	GCA_002259745.1	Bifidobacterium myosotis	88.8199	96	0.0553956
-	JDUW01000002.1	CONTIG	38095	280737	290637	JGZK01000006.1	1	242628	GCA_000741695.1	Bifidobacterium reuteri	99.9885	96	83.4866
-	JDUW01000002.1	CONTIG	280738	290637	290637	JGZK01000022.1	23	9918	GCA_000741695.1	Bifidobacterium reuteri	99.9885	96	3.40631
