# ANI ranges report for assembly: GCA_002076835.1
# Submitted organism: Streptococcus pneumoniae (taxid = 1313, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus)
# Submitted Organism Has Type Assembly: Yes
# Best match: Streptococcus pneumoniae (taxid = 1313, rank = species, lineage = Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP020549.1	CONTIG|CIRCULAR	1	14347	2148350	JBRUDM010000011.1	62073	76419	GCA_053203845.1	Streptococcus pneumoniae	99.8048	96	0.667815
-	CP020549.1	CONTIG|CIRCULAR	14450	14787	2148350	JBRUDM010000009.1	6	343	GCA_053203845.1	Streptococcus pneumoniae	99.7915	96	0.015733
-	CP020549.1	CONTIG|CIRCULAR	14788	19723	2148350	JBRUDM010000004.1	1	4936	GCA_053203845.1	Streptococcus pneumoniae	99.7915	96	0.229758
-	CP020549.1	CONTIG|CIRCULAR	19824	19986	2148350	LN831051.1	476972	477134	GCA_001457635.1	Streptococcus pneumoniae	99.3865	96	0.00758722
-	CP020549.1	CONTIG|CIRCULAR	19987	22939	2148350	JBRUDM010000041.1	237	3157	GCA_053203845.1	Streptococcus pneumoniae	97.3595	96	0.137454
-	CP020549.1	CONTIG|CIRCULAR	23234	24712	2148350	LN831051.1	471688	473156	GCA_001457635.1	Streptococcus pneumoniae	97.9716	96	0.0688435
-	CP020549.1	CONTIG|CIRCULAR	25663	25876	2148350	LN831051.1	470624	470837	GCA_001457635.1	Streptococcus pneumoniae	93.4579	96	0.00996113
-	CP020549.1	CONTIG|CIRCULAR	27021	27128	2148350	JBRUDM010000004.1	95862	95969	GCA_053203845.1	Streptococcus pneumoniae	95.5823	96	0.00502711
-	CP020549.1	CONTIG|CIRCULAR	27129	27269	2148350	JBRUDM010000004.1	93944	94084	GCA_053203845.1	Streptococcus pneumoniae	95.5823	96	0.00656318
-	CP020549.1	CONTIG|CIRCULAR	27619	29323	2148350	LN831051.1	465998	467698	GCA_001457635.1	Streptococcus pneumoniae	91.7153	96	0.0793632
-	CP020549.1	CONTIG|CIRCULAR	29741	31446	2148350	LN831051.1	463837	465530	GCA_001457635.1	Streptococcus pneumoniae	89.8949	96	0.0794098
S	CP020549.1	CONTIG|CIRCULAR	31450	31664	2148350	MWSM01000058.1	19529	19743	GCA_002087075.1	Streptococcus pseudopneumoniae	93.9535	96	0.0100077
S	CP020549.1	CONTIG|CIRCULAR	31665	31829	2148350	CAOKTW010000004.1	18191	18355	GCA_948472335.1	Streptococcus bouchesdurhonensis	100	96	0.00768031
-	CP020549.1	CONTIG|CIRCULAR	44952	46469	2148350	LN831051.1	446292	447809	GCA_001457635.1	Streptococcus pneumoniae	92.6267	96	0.0706589
-	CP020549.1	CONTIG|CIRCULAR	46470	46643	2148350	JBRUDM010000004.1	122522	122695	GCA_053203845.1	Streptococcus pneumoniae	90.8571	96	0.00809924
-	CP020549.1	CONTIG|CIRCULAR	47172	47995	2148350	LN831051.1	445016	445839	GCA_001457635.1	Streptococcus pneumoniae	98.4223	96	0.038355
-	CP020549.1	CONTIG|CIRCULAR	49253	52921	2148350	JBRUDM010000004.1	124840	128500	GCA_053203845.1	Streptococcus pneumoniae	96.5132	96	0.170782
-	CP020549.1	CONTIG|CIRCULAR	52922	53312	2148350	LN831051.1	439902	440292	GCA_001457635.1	Streptococcus pneumoniae	99.7442	96	0.0182
-	CP020549.1	CONTIG|CIRCULAR	53313	54703	2148350	JBRUDM010000004.1	128775	130152	GCA_053203845.1	Streptococcus pneumoniae	94.1092	96	0.0647474
-	CP020549.1	CONTIG|CIRCULAR	54704	55417	2148350	LN831051.1	437677	438391	GCA_001457635.1	Streptococcus pneumoniae	98.7413	96	0.0332348
-	CP020549.1	CONTIG|CIRCULAR	55735	56411	2148350	JBRUDM010000041.1	3158	3834	GCA_053203845.1	Streptococcus pneumoniae	99.2103	96	0.0315126
-	CP020549.1	CONTIG|CIRCULAR	56412	61555	2148350	JBRUDM010000039.1	107	5254	GCA_053203845.1	Streptococcus pneumoniae	99.2103	96	0.23944
-	CP020549.1	CONTIG|CIRCULAR	61904	66343	2148350	JBRUDM010000015.1	50106	54540	GCA_053203845.1	Streptococcus pneumoniae	98.8514	96	0.20667
-	CP020549.1	CONTIG|CIRCULAR	66879	71315	2148350	JBRUDM010000015.1	45619	50053	GCA_053203845.1	Streptococcus pneumoniae	97.2504	96	0.206531
-	CP020549.1	CONTIG|CIRCULAR	71763	82120	2148350	JBRUDM010000015.1	34957	45317	GCA_053203845.1	Streptococcus pneumoniae	99.4209	96	0.482137
-	CP020549.1	CONTIG|CIRCULAR	82121	82265	2148350	LN831051.1	416510	416654	GCA_001457635.1	Streptococcus pneumoniae	99.3103	96	0.00674937
-	CP020549.1	CONTIG|CIRCULAR	82266	85360	2148350	JBRUDM010000015.1	31862	34956	GCA_053203845.1	Streptococcus pneumoniae	99.2569	96	0.144064
-	CP020549.1	CONTIG|CIRCULAR	85764	116956	2148350	JBRUDM010000015.1	341	31579	GCA_053203845.1	Streptococcus pneumoniae	99.0269	96	1.45195
-	CP020549.1	CONTIG|CIRCULAR	117529	117863	2148350	JBRUDM010000015.1	1	335	GCA_053203845.1	Streptococcus pneumoniae	99.1045	96	0.0155934
