# Assembly Statistics Report
# Assembly name:  ASM207683v1
# Organism name:  Streptococcus pneumoniae (firmicutes)
# Infraspecific name:  strain=Hu17
# Taxid:          1313
# BioSample:      SAMN06622699
# BioProject:     PRJNA379899
# Submitter:      Regine Hakenbeck
# Date:           2017-04-03
# Assembly type:  na
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: Newbler v. 2.6
# Genome coverage: 157x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_002076835.1
# RefSeq assembly accession: GCF_002076835.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002076845.1	GCF_002076845.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2154362
all	all	all	all	spanned-gaps	118
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2
all	all	all	all	scaffold-N50	2148350
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	2148350
all	all	all	all	scaffold-N90	2148350
all	all	all	all	contig-count	120
all	all	all	all	contig-N50	32708
all	all	all	all	contig-L50	19
all	all	all	all	total-gap-length	37095
all	all	all	all	molecule-count	2
all	all	all	all	top-level-count	2
all	all	all	all	component-count	2
all	all	all	all	gc-perc	39.5
Primary Assembly	all	all	all	total-length	2154362
Primary Assembly	all	all	all	ungapped-length	2117267
Primary Assembly	all	all	all	scaffold-count	2
Primary Assembly	all	all	all	scaffold-N50	2148350
Primary Assembly	all	all	all	spanned-gaps	118
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	39.5
Primary Assembly	all	all	assembled-molecule	total-length	2154362
Primary Assembly	all	all	assembled-molecule	ungapped-length	2117267
Primary Assembly	all	all	assembled-molecule	scaffold-count	2
Primary Assembly	all	all	assembled-molecule	scaffold-N50	2148350
Primary Assembly	all	all	assembled-molecule	spanned-gaps	118
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	39.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	total-length	2148350
Primary Assembly	na	Chromosome	all	ungapped-length	2112155
Primary Assembly	na	Chromosome	all	scaffold-count	1
Primary Assembly	na	Chromosome	all	scaffold-N50	2148350
Primary Assembly	na	Chromosome	all	spanned-gaps	114
Primary Assembly	na	Chromosome	all	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	gc-perc	39.5
Primary Assembly	na	Chromosome	assembled-molecule	total-length	2148350
