# ANI ranges report for assembly: GCA_001709315.1
# Submitted organism: Pantoea agglomerans (taxid = 549, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group)
# Submitted Organism Has Type Assembly: Yes
# Best match: Pantoea agglomerans (taxid = 549, rank = species, lineage = Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; Pantoea agglomerans group)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP016889.1	CIRCULAR	1	24665	4182028	CP077366.1	2107996	2132658	GCA_019048385.1	Pantoea agglomerans	97.5675	96	0.589786
S	CP016889.1	CIRCULAR	24688	24807	4182028	FOVG01000004.1	223159	223272	GCA_900115075.1	Candidatus Pantoea varia	84.261	96	0.00286942
S	CP016889.1	CIRCULAR	24808	25201	4182028	FOVG01000001.1	778223	778614	GCA_900115075.1	Candidatus Pantoea varia	84.261	96	0.00942127
S	CP016889.1	CIRCULAR	25202	25443	4182028	VHJB01000001.1	139	376	GCA_006494355.1	Pantoea eucalypti	67.4797	96	0.00578667
S	CP016889.1	CIRCULAR	25444	25552	4182028	CP071405.1	1596872	1596994	GCA_022647325.1	Pantoea deleyi	70.9677	96	0.00260639
S	CP016889.1	CIRCULAR	25571	25760	4182028	CP045720.1	765385	765574	GCA_009646115.1	Pantoea eucalypti	97.3684	96	0.00454325
S	CP016889.1	CIRCULAR	25853	25965	4182028	VHIZ01000052.1	240017	240125	GCA_006494375.1	Pantoea anthophila	73.2759	96	0.00270204
-	CP016889.1	CIRCULAR	25968	31619	4182028	CP077366.1	2100309	2105962	GCA_019048385.1	Pantoea agglomerans	97.3118	96	0.13515
-	CP016889.1	CIRCULAR	31620	36381	4182028	CP077366.1	2083773	2088534	GCA_019048385.1	Pantoea agglomerans	97.3118	96	0.113868
S	CP016889.1	CIRCULAR	36382	37229	4182028	SBFD01000003.1	94704	95534	GCA_014156615.1	Pantoea pleuroti	95.7547	96	0.0202772
-	CP016889.1	CIRCULAR	37230	51053	4182028	CP077366.1	2058887	2072743	GCA_019048385.1	Pantoea agglomerans	96.9823	96	0.330557
-	CP016889.1	CIRCULAR	51054	59625	4182028	CP077366.1	2046011	2054580	GCA_019048385.1	Pantoea agglomerans	96.9823	96	0.204972
S	CP016889.1	CIRCULAR	59626	61047	4182028	SBFD01000003.1	117930	119351	GCA_014156615.1	Pantoea pleuroti	99.9297	96	0.0340026
-	CP016889.1	CIRCULAR	61048	74723	4182028	CP077366.1	2031866	2045549	GCA_019048385.1	Pantoea agglomerans	97.1658	96	0.327018
S	CP016889.1	CIRCULAR	75057	76423	4182028	VHIZ01000064.1	133316	134683	GCA_006494375.1	Pantoea anthophila	86.4766	96	0.0326875
-	CP016889.1	CIRCULAR	79727	90771	4182028	CP077366.1	2020637	2031695	GCA_019048385.1	Pantoea agglomerans	97.2149	96	0.264106
S	CP016889.1	CIRCULAR	90772	95060	4182028	CP071405.1	1463008	1467291	GCA_022647325.1	Pantoea deleyi	80.3717	96	0.102558
S	CP016889.1	CIRCULAR	95061	95255	4182028	MLJJ01000036.1	38664	38851	GCA_002095575.1	Pantoea septica	73.7374	96	0.00466281
-	CP016889.1	CIRCULAR	95256	96672	4182028	CP077366.1	2014896	2016312	GCA_019048385.1	Pantoea agglomerans	97.2477	96	0.0338831
S	CP016889.1	CIRCULAR	96673	100851	4182028	CP071405.1	1457224	1461399	GCA_022647325.1	Pantoea deleyi	82.3908	96	0.0999276
S	CP016889.1	CIRCULAR	100852	104531	4182028	CP082292.1	1444919	1448602	GCA_019880205.1	Pantoea alfalfae	84.7903	96	0.0879956
-	CP016889.1	CIRCULAR	104532	172057	4182028	CP077366.1	1934073	2001623	GCA_019048385.1	Pantoea agglomerans	98.0492	96	1.61467
S	CP016889.1	CIRCULAR	172058	172373	4182028	SBFD01000003.1	233355	233690	GCA_014156615.1	Pantoea pleuroti	88.6905	96	0.00755614
-	CP016889.1	CIRCULAR	172374	215952	4182028	CP077366.1	1888945	1932535	GCA_019048385.1	Pantoea agglomerans	97.5288	96	1.04205
-	CP016889.1	CIRCULAR	215953	257511	4182028	CP077366.1	1819650	1861297	GCA_019048385.1	Pantoea agglomerans	97.5288	96	0.993752
S	CP016889.1	CIRCULAR	257512	257906	4182028	SBFD01000003.1	318624	319022	GCA_014156615.1	Pantoea pleuroti	94.5	96	0.00944518
-	CP016889.1	CIRCULAR	257907	261645	4182028	CP077366.1	1815906	1819636	GCA_019048385.1	Pantoea agglomerans	98.1551	96	0.0894064
S	CP016889.1	CIRCULAR	261646	263870	4182028	SBFD01000003.1	322770	324986	GCA_014156615.1	Pantoea pleuroti	98.6067	96	0.0532039
-	CP016889.1	CIRCULAR	263871	267992	4182028	CP077366.1	1811647	1815768	GCA_019048385.1	Pantoea agglomerans	98.5687	96	0.0985646
S	CP016889.1	CIRCULAR	267993	268216	4182028	VWVM01000001.1	225251	225474	GCA_008632075.1	Candidatus Pantoea gossypiicola	78.7611	96	0.00535625
-	CP016889.1	CIRCULAR	268217	320996	4182028	CP077366.1	1758576	1811357	GCA_019048385.1	Pantoea agglomerans	98.3746	96	1.26207
S	CP016889.1	CIRCULAR	320997	326124	4182028	SBFD01000003.1	382183	387311	GCA_014156615.1	Pantoea pleuroti	99.766	96	0.12262
-	CP016889.1	CIRCULAR	326125	353854	4182028	CP077366.1	1730731	1758468	GCA_019048385.1	Pantoea agglomerans	98.0246	96	0.663075
S	CP016889.1	CIRCULAR	353855	356950	4182028	SBFD01000003.1	453456	456551	GCA_014156615.1	Pantoea pleuroti	99.6125	96	0.0740311
-	CP016889.1	CIRCULAR	356951	377121	4182028	CP077366.1	1705493	1725672	GCA_019048385.1	Pantoea agglomerans	98.112	96	0.482326
S	CP016889.1	CIRCULAR	377122	377414	4182028	SBFD01000003.1	476704	476996	GCA_014156615.1	Pantoea pleuroti	100	96	0.00700617
-	CP016889.1	CIRCULAR	377415	424472	4182028	CP077366.1	1658135	1705197	GCA_019048385.1	Pantoea agglomerans	98.1477	96	1.12524
S	CP016889.1	CIRCULAR	424473	424650	4182028	SBFD01000003.1	524085	524262	GCA_014156615.1	Pantoea pleuroti	100	96	0.00425631
-	CP016889.1	CIRCULAR	424651	448640	4182028	CP077366.1	1634140	1658134	GCA_019048385.1	Pantoea agglomerans	98.108	96	0.573645
S	CP016889.1	CIRCULAR	448641	448924	4182028	SBFD01000003.1	548259	548544	GCA_014156615.1	Pantoea pleuroti	97.5524	96	0.00679096
-	CP016889.1	CIRCULAR	448925	468381	4182028	CP077366.1	1614569	1634027	GCA_019048385.1	Pantoea agglomerans	97.8776	96	0.465253
S	CP016889.1	CIRCULAR	468382	468609	4182028	SBFD01000003.1	567835	568060	GCA_014156615.1	Pantoea pleuroti	95.6332	96	0.0054519
-	CP016889.1	CIRCULAR	468610	538083	4182028	CP077366.1	1545086	1614568	GCA_019048385.1	Pantoea agglomerans	98.3107	96	1.66125
S	CP016889.1	CIRCULAR	538084	539361	4182028	CP038853.1	990210	991500	GCA_004792415.1	Pantoea vagans	83.2688	96	0.0305593
S	CP016889.1	CIRCULAR	539362	543607	4182028	CP193910.1	1184324	1188581	GCA_050856905.1	Pantoea allii	90.9496	96	0.10153
S	CP016889.1	CIRCULAR	547611	553637	4182028	CP193910.1	1178247	1184269	GCA_050856905.1	Pantoea allii	91.7288	96	0.144117
S	CP016889.1	CIRCULAR	554197	556297	4182028	RHDS01000006.1	313487	315585	GCA_003710245.1	[Curtobacterium] plantarum	95.4805	96	0.0502388
-	CP016889.1	CIRCULAR	556298	619775	4182028	CP077366.1	1474570	1538066	GCA_019048385.1	Pantoea agglomerans	98.1895	96	1.51788
-	CP016889.1	CIRCULAR	619776	728540	4182028	CP077366.1	1365620	1474435	GCA_019048385.1	Pantoea agglomerans	98.1895	96	2.60077
S	CP016889.1	CIRCULAR	728541	728741	4182028	SBFD01000009.1	26516	26716	GCA_014156615.1	Pantoea pleuroti	99.5025	96	0.00480628
-	CP016889.1	CIRCULAR	728742	746515	4182028	CP077366.1	1347642	1365419	GCA_019048385.1	Pantoea agglomerans	98.4588	96	0.425009
-	CP016889.1	CIRCULAR	746563	746885	4182028	BCZA01000009.1	17	339	GCA_001598475.1	Pantoea agglomerans	97.8328	96	0.00772353
-	CP016889.1	CIRCULAR	746916	756387	4182028	CP077366.1	1338171	1347641	GCA_019048385.1	Pantoea agglomerans	97.5058	96	0.226493
-	CP016889.1	CIRCULAR	756388	771636	4182028	CP077366.1	1322808	1338055	GCA_019048385.1	Pantoea agglomerans	97.5058	96	0.364632
-	CP016889.1	CIRCULAR	771640	771869	4182028	UGSO01000001.1	1935514	1935743	GCA_900454405.1	Pantoea agglomerans	96.1039	96	0.00549972
-	CP016889.1	CIRCULAR	771969	772187	4182028	CP077366.1	826460	826678	GCA_019048385.1	Pantoea agglomerans	97.2603	96	0.00523669
-	CP016889.1	CIRCULAR	772214	789528	4182028	CP077366.1	1305504	1322807	GCA_019048385.1	Pantoea agglomerans	98.5506	96	0.414034
S	CP016889.1	CIRCULAR	789581	790330	4182028	SBFD01000006.1	298430	299178	GCA_014156615.1	Pantoea pleuroti	96.9374	96	0.0179339
-	CP016889.1	CIRCULAR	790331	790567	4182028	CP077366.1	2106010	2106246	GCA_019048385.1	Pantoea agglomerans	97.8903	96	0.00566711
S	CP016889.1	CIRCULAR	790568	790756	4182028	SBFD01000006.1	297986	298192	GCA_014156615.1	Pantoea pleuroti	76.9231	96	0.00451934
-	CP016889.1	CIRCULAR	790757	795161	4182028	CP077366.1	1300027	1304432	GCA_019048385.1	Pantoea agglomerans	97.5499	96	0.105332
S	CP016889.1	CIRCULAR	795162	801136	4182028	SBFD01000006.1	287601	293575	GCA_014156615.1	Pantoea pleuroti	98.6278	96	0.142873
-	CP016889.1	CIRCULAR	801137	803873	4182028	CP077366.1	1297111	1299847	GCA_019048385.1	Pantoea agglomerans	96.0248	96	0.0654467
S	CP016889.1	CIRCULAR	803874	804211	4182028	SBFD01000006.1	284526	284863	GCA_014156615.1	Pantoea pleuroti	100	96	0.0080822
-	CP016889.1	CIRCULAR	804212	885011	4182028	CP077366.1	1216273	1297110	GCA_019048385.1	Pantoea agglomerans	97.8096	96	1.93208
S	CP016889.1	CIRCULAR	885012	885184	4182028	SBFD01000006.1	203325	203497	GCA_014156615.1	Pantoea pleuroti	100	96	0.00413675
-	CP016889.1	CIRCULAR	885185	897818	4182028	CP077366.1	1203603	1216237	GCA_019048385.1	Pantoea agglomerans	98.441	96	0.302102
-	CP016889.1	CIRCULAR	897820	906064	4182028	CP077366.1	1195165	1203404	GCA_019048385.1	Pantoea agglomerans	97.9629	96	0.197153
-	CP016889.1	CIRCULAR	908322	908615	4182028	CP077366.1	1193352	1193645	GCA_019048385.1	Pantoea agglomerans	85.4237	96	0.00703008
S	CP016889.1	CIRCULAR	908616	908851	4182028	FOVG01000004.1	42528	42763	GCA_900115075.1	Candidatus Pantoea varia	90.6863	96	0.0056432
S	CP016889.1	CIRCULAR	908852	909022	4182028	FOVG01000004.1	22938	23108	GCA_900115075.1	Candidatus Pantoea varia	90.6863	96	0.00408893
S	CP016889.1	CIRCULAR	909117	910434	4182028	MLFN01000024.1	32629	33946	GCA_002095315.1	Pantoea conspicua	82.1347	96	0.0315158
S	CP016889.1	CIRCULAR	912324	914547	4182028	DIHB01000011.1	317426	319648	GCA_002419935.1	Candidatus Pantoea rara	94.5169	96	0.0531799
-	CP016889.1	CIRCULAR	914548	915501	4182028	CP077366.1	1180220	1181173	GCA_019048385.1	Pantoea agglomerans	88.0878	96	0.0228119
-	CP016889.1	CIRCULAR	917430	917596	4182028	CP077366.1	1177776	1177942	GCA_019048385.1	Pantoea agglomerans	91.6168	96	0.00399328
