# Assembly Statistics Report
# Assembly name:  ASM170931v1
# Organism name:  Pantoea agglomerans (enterobacteria)
# Infraspecific name:  strain=C410P1
# Taxid:          549
# BioSample:      SAMN05444153
# BioProject:     PRJNA335437
# Submitter:      Anhui University
# Date:           2016-08-19
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: HGAP v. 3
# Genome coverage: 288.0
# Sequencing technology: PacBio
# GenBank assembly accession: GCA_001709315.1
# RefSeq assembly accession: GCF_001709315.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001709325.1	GCF_001709325.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	5115241
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	4
all	all	all	all	scaffold-N50	4182028
all	all	all	all	scaffold-L50	1
all	all	all	all	scaffold-N75	4182028
all	all	all	all	scaffold-N90	543504
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	4
all	all	all	all	top-level-count	4
all	all	all	all	component-count	4
all	all	all	all	gc-perc	55
Primary Assembly	all	all	all	total-length	5115241
Primary Assembly	all	all	all	ungapped-length	5115241
Primary Assembly	all	all	all	scaffold-count	4
Primary Assembly	all	all	all	scaffold-N50	4182028
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	55
Primary Assembly	all	all	assembled-molecule	total-length	5115241
Primary Assembly	all	all	assembled-molecule	ungapped-length	5115241
Primary Assembly	all	all	assembled-molecule	scaffold-count	4
Primary Assembly	all	all	assembled-molecule	scaffold-N50	4182028
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	55
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	total-length	4182028
Primary Assembly	na	Chromosome	all	ungapped-length	4182028
Primary Assembly	na	Chromosome	all	scaffold-count	1
Primary Assembly	na	Chromosome	all	scaffold-N50	4182028
Primary Assembly	na	Chromosome	all	spanned-gaps	0
Primary Assembly	na	Chromosome	all	unspanned-gaps	0
Primary Assembly	na	Chromosome	all	gc-perc	55.5
