# Assembly name:  DSM-23975
# Organism name:  Bifidobacterium reuteri DSM 23975 (high G+C Gram-positive bacteria)
# Infraspecific name:  strain=DSM 23975
# Taxid:          1437610
# BioSample:      SAMN02442040
# BioProject:     PRJNA237576
# Submitter:      Key Laboratory of Dairy BiotecInner Mongolia Agricultural University
# Date:           2014-11-04
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JDUW01
# Assembly method: SOAPdenovo v. 2.01
# Expected final version: yes
# Genome coverage: 278.3x
# Sequencing technology: Illunima Hiseq
# Relation to type material: assembly from type material
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000771685.1
# RefSeq assembly accession: GCF_000771685.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000771695.1	GCF_000771695.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig1	unplaced-scaffold	na	na	JDUW01000001.1	=	NZ_JDUW01000001.1	Primary Assembly	315419	na
contig2	unplaced-scaffold	na	na	JDUW01000002.1	=	NZ_JDUW01000002.1	Primary Assembly	290637	na
contig3	unplaced-scaffold	na	na	JDUW01000003.1	=	NZ_JDUW01000003.1	Primary Assembly	234326	na
contig4	unplaced-scaffold	na	na	JDUW01000004.1	=	NZ_JDUW01000004.1	Primary Assembly	206748	na
contig5	unplaced-scaffold	na	na	JDUW01000005.1	=	NZ_JDUW01000005.1	Primary Assembly	112006	na
contig6	unplaced-scaffold	na	na	JDUW01000006.1	=	NZ_JDUW01000006.1	Primary Assembly	37201	na
contig7	unplaced-scaffold	na	na	JDUW01000007.1	=	NZ_JDUW01000007.1	Primary Assembly	141199	na
contig8	unplaced-scaffold	na	na	JDUW01000008.1	=	NZ_JDUW01000008.1	Primary Assembly	134067	na
contig9	unplaced-scaffold	na	na	JDUW01000009.1	=	NZ_JDUW01000009.1	Primary Assembly	45398	na
contig10	unplaced-scaffold	na	na	JDUW01000010.1	=	NZ_JDUW01000010.1	Primary Assembly	76390	na
contig11	unplaced-scaffold	na	na	JDUW01000011.1	=	NZ_JDUW01000011.1	Primary Assembly	113464	na
contig12	unplaced-scaffold	na	na	JDUW01000012.1	=	NZ_JDUW01000012.1	Primary Assembly	36211	na
contig13	unplaced-scaffold	na	na	JDUW01000013.1	=	NZ_JDUW01000013.1	Primary Assembly	73030	na
contig14	unplaced-scaffold	na	na	JDUW01000014.1	=	NZ_JDUW01000014.1	Primary Assembly	109192	na
contig15	unplaced-scaffold	na	na	JDUW01000015.1	=	NZ_JDUW01000015.1	Primary Assembly	103315	na
contig16	unplaced-scaffold	na	na	JDUW01000016.1	=	NZ_JDUW01000016.1	Primary Assembly	73369	na
contig17	unplaced-scaffold	na	na	JDUW01000017.1	=	NZ_JDUW01000017.1	Primary Assembly	22781	na
contig18	unplaced-scaffold	na	na	JDUW01000018.1	=	NZ_JDUW01000018.1	Primary Assembly	93772	na
contig19	unplaced-scaffold	na	na	JDUW01000019.1	=	NZ_JDUW01000019.1	Primary Assembly	74553	na
contig20	unplaced-scaffold	na	na	JDUW01000020.1	=	NZ_JDUW01000020.1	Primary Assembly	71461	na
contig21	unplaced-scaffold	na	na	JDUW01000021.1	=	NZ_JDUW01000021.1	Primary Assembly	63074	na
contig22	unplaced-scaffold	na	na	JDUW01000022.1	=	NZ_JDUW01000022.1	Primary Assembly	50675	na
contig23	unplaced-scaffold	na	na	JDUW01000023.1	=	NZ_JDUW01000023.1	Primary Assembly	46891	na
contig24	unplaced-scaffold	na	na	JDUW01000024.1	=	NZ_JDUW01000024.1	Primary Assembly	18040	na
contig25	unplaced-scaffold	na	na	JDUW01000025.1	=	NZ_JDUW01000025.1	Primary Assembly	20406	na
contig26	unplaced-scaffold	na	na	JDUW01000026.1	=	NZ_JDUW01000026.1	Primary Assembly	33979	na
contig27	unplaced-scaffold	na	na	JDUW01000027.1	=	NZ_JDUW01000027.1	Primary Assembly	224	na
